id,payload_id,agent_id,username,risk_score,risk_level,correlated_signals_json,summary,created_at
50001,60d9e0cb-0b45-4565-8f69-2085d7c656d3,f06bc75e-b4fa-4e34-885c-f09413c563d1,user_024,3.45,Info,"{""logon_risk"": 15.11457447284018, ""file_risk"": 15.04513332591056, ""device_risk"": 13.25641973781422, ""http_risk"": 11.729125420955187}",Standard authentication,2026-06-07 07:37:28+00
50002,60148aa9-f830-409b-8f7a-7c9163484509,489f92b6-fa9e-40e5-948a-084fd5ef8989,user_003,3.45,Info,"{""logon_risk"": 7.078449604244983, ""file_risk"": 11.098065844083852, ""device_risk"": 19.79814560315559, ""http_risk"": 4.279558863058581}",Automated backup check,2026-06-07 14:05:35+00
50003,5d271a52-4f33-4776-a659-bfcddae26144,489f92b6-fa9e-40e5-948a-084fd5ef8989,user_003,24.39,Low,"{""logon_risk"": 1.7781894168639267, ""file_risk"": 8.421363241978362, ""device_risk"": 12.948641689263948, ""http_risk"": 16.048996753951005}",Application error,2026-06-07 04:17:14+00
50004,cc333463-64f4-4bae-878a-ee308178f0e2,3d003c22-ac8d-4207-bda8-04f3942a17f3,user_026,1.95,Info,"{""logon_risk"": 16.61563427772307, ""file_risk"": 4.5904638076552695, ""device_risk"": 5.907765630959041, ""http_risk"": 3.6839328401123828}",Automated backup check,2026-06-07 05:29:58+00
50005,ac30bf26-2670-4c70-8607-a50c1324fed8,cfd6d3bc-6ea6-4597-ae97-1b5e89b8ecfd,user_033,3.47,Info,"{""logon_risk"": 18.856028645400663, ""file_risk"": 13.482440160549444, ""device_risk"": 14.964763400637008, ""http_risk"": 5.097913900088196}",Automated backup check,2026-06-07 23:01:37+00
50006,00105b4e-7e27-41ea-9c7d-0f035bfbd8e2,562b2053-1d53-41c8-a55c-62a49636c31c,user_008,1.56,Info,"{""logon_risk"": 2.721080218325631, ""file_risk"": 13.51186732530783, ""device_risk"": 6.085562226342902, ""http_risk"": 5.864599531699408}",Automated backup check,2026-06-07 18:11:19+00
50007,4adda6c6-90ca-4bf6-9ffc-894634ccf5d9,adf6d7bf-4a9b-4fc8-9aca-6cdcc842181d,user_015,5.79,Info,"{""logon_risk"": 4.8066318200159985, ""file_risk"": 13.05855234222572, ""device_risk"": 12.488662229035361, ""http_risk"": 9.508644163192228}",Automated backup check,2026-06-07 11:54:24+00
50008,9f41cf46-a118-42db-a794-d9958d3b8e9e,4645a04a-83e1-4a7f-8a99-0f0cbd3b6f51,user_001,3.87,Info,"{""logon_risk"": 11.131631599420942, ""file_risk"": 1.320626555428177, ""device_risk"": 9.022453271007322, ""http_risk"": 2.6306143371843227}",Standard authentication,2026-06-07 16:32:53+00
50009,1a9d70df-32a5-4eb1-be05-dfef47382466,3c6c244c-9d8f-499a-a51c-84ba5e2433fb,user_025,5.14,Info,"{""logon_risk"": 3.414019054618125, ""file_risk"": 8.947743806373678, ""device_risk"": 13.761878650389075, ""http_risk"": 19.694514034800495}",Standard authentication,2026-06-07 17:55:54+00
50010,ae192e69-a72a-4082-af96-c0d7be278e72,562b2053-1d53-41c8-a55c-62a49636c31c,user_008,0.22,Info,"{""logon_risk"": 8.771638643058836, ""file_risk"": 1.6709361964843028, ""device_risk"": 5.187608561674811, ""http_risk"": 8.99720828068951}",Automated backup check,2026-06-07 21:10:33+00
