user,max_error,mean_error,score_v2,is_insider,threat_scenario
U0430,0.743996262550354,0.030557106203065378,0.1888458836873276,1,cloud_exfil
U0349,0.7794029712677002,0.029579228494753806,0.18870625710124633,1,sabotage
U0891,0.6797154545783997,0.03002996557137294,0.16832027621724985,1,sabotage
U0221,0.7309777140617371,0.027225388576656014,0.16531138664630232,1,flight_risk
U0719,0.6772147417068481,0.02787308218363936,0.15450722765436625,1,cloud_exfil
U0951,0.6307793259620667,0.026735392353248243,0.13062901071671815,0,normal
U0028,0.647333025932312,0.024032279539790938,0.13015826523101282,1,usb_exfil
U0282,0.6312601566314697,0.024755025131536084,0.1288623973456144,1,flight_risk
U0604,0.4565839469432831,0.02964347582783108,0.11161028564410984,1,email_exfil
U0143,0.5705881714820862,0.02324322055318447,0.10855665902938107,1,email_exfil
U0917,0.6456209421157837,0.020324251332627264,0.10248423969754566,0,normal
U0229,0.49184948205947876,0.0230020644037177,0.09397743317237578,1,usb_exfil
U0336,0.5985751748085022,0.017627422340082688,0.08240857957619897,0,normal
U0310,0.4155104458332062,0.01615997614998024,0.05329579397718957,0,normal
U0473,0.46123313903808594,0.013618051324094438,0.04865316474400449,0,normal
U0488,0.36748006939888,0.014495117132432593,0.04091490288720376,0,normal
U0140,0.40764081478118896,0.012819676005814054,0.040479052232627634,0,normal
U0639,0.2931957542896271,0.015648926243012864,0.035834977672429755,0,normal
U0150,0.2558388411998749,0.01760256942345411,0.03545997212609161,0,normal
U0550,0.3227710425853729,0.013849212767017196,0.0343356804363716,0,normal
U0298,0.3386933505535126,0.01312860664361555,0.034154765860820606,0,normal
U0035,0.29662734270095825,0.014828571948759943,0.033785979620480244,0,normal
U0325,0.22081980109214783,0.01868557900382086,0.03196098823628426,0,normal
U0003,0.22974376380443573,0.017993860462701346,0.03148343259381091,0,normal
U0217,0.273467481136322,0.014268265675185368,0.03097042409815217,0,normal
U0663,0.22481387853622437,0.01631396195860841,0.02817140902843403,0,normal
U0657,0.2979695796966553,0.011561498384927683,0.027125758814519084,0,normal
U0863,0.2141604721546173,0.016480627646962016,0.02711059622272823,0,normal
U0538,0.23071953654289246,0.015031785325853756,0.026863992693302138,0,normal
U0983,0.2838154733181,0.012060687254733403,0.026734560101259363,0,normal
U0720,0.24001801013946533,0.014204467007529588,0.026627702174762173,0,normal
U0960,0.2783602476119995,0.012004440558717328,0.026098410458919283,0,normal
U0591,0.28217044472694397,0.011917428057859069,0.02604771831807946,0,normal
U0592,0.24857152998447418,0.012829198886544374,0.025110003202584705,0,normal
U0548,0.21908040344715118,0.014669452875154332,0.025100499605442805,0,normal
U0425,0.25622040033340454,0.012809542400018786,0.024995470597596946,0,normal
U0724,0.22323830425739288,0.014017896022021917,0.02444085906226945,0,normal
U0800,0.22511285543441772,0.014015957961055392,0.024439859686086276,0,normal
U0046,0.23183573782444,0.01383989326486385,0.02443583148663405,0,normal
U0021,0.23505690693855286,0.0136257672296669,0.02439203190518356,0,normal
U0158,0.22286750376224518,0.013537751511728221,0.02394768636812148,0,normal
U0522,0.2574676275253296,0.011729727570990828,0.023197253179775727,0,normal
U0011,0.20546656847000122,0.014103131679746639,0.022999955904697143,0,normal
U0586,0.2619360089302063,0.011378713691868343,0.022893615352896666,0,normal
U0159,0.20939764380455017,0.013820893294421458,0.02278787084300805,0,normal
U0192,0.17275482416152954,0.016549834470277993,0.02251229043110332,0,normal
